ID,X,Y,Z
5005,-0.004625,-0.002752,-0.002989
4887,-0.004638,-0.002692,-0.003049
5004,-0.004595,-0.002801,-0.003049
5124,-0.004580,-0.002861,-0.002989
4886,-0.004609,-0.002741,-0.003109
27049,0.004621,-0.002472,-0.003566
26232,0.004565,-0.002850,-0.003111
26475,0.004708,-0.002529,-0.002994
26233,0.004595,-0.002801,-0.003049
26352,0.004579,-0.002790,-0.003170
12266,-0.001976,-0.005149,0.000269
11835,-0.002180,-0.005157,0.000015
12123,-0.002057,-0.005122,0.000232
11978,-0.002101,-0.005184,0.000053
11834,-0.002159,-0.005199,-0.000058
21468,0.003295,-0.004757,-0.000683
21332,0.003228,-0.004791,-0.000627
21603,0.003324,-0.004761,-0.000811
21604,0.003360,-0.004722,-0.000741
21332,0.003228,-0.004791,-0.000627
9879,-0.003295,-0.004708,-0.000484
9878,-0.003262,-0.004750,-0.000555
10015,-0.003193,-0.004782,-0.000500
9742,-0.003363,-0.004675,-0.000540
10153,-0.003123,-0.004813,-0.000447
7618,-0.004123,-0.003994,-0.001645
7619,-0.004161,-0.003951,-0.001578
7747,-0.004087,-0.004047,-0.001576
7617,-0.004086,-0.004036,-0.001712
7489,-0.004158,-0.003940,-0.001713
24118,0.004249,-0.003774,-0.001920
24249,0.004348,-0.003628,-0.001861
23989,0.004221,-0.003829,-0.001851
24117,0.004211,-0.003817,-0.001986
23989,0.004221,-0.003829,-0.001851
19370,0.002159,-0.005199,-0.000058
19087,0.002039,-0.005167,0.000162
19086,0.002022,-0.005212,0.000091
19228,0.002082,-0.005226,-0.000020
19369,0.002139,-0.005240,-0.000132
