ID,X,Y,Z
7199,-0.004249,0.003107,0.001632
7200,-0.004245,0.003185,0.001656
7201,-0.004240,0.003264,0.001680
7202,-0.004236,0.003342,0.001704
7203,-0.004232,0.003421,0.001728
2812,-0.005627,0.003355,-0.001368
2813,-0.005620,0.003426,-0.001342
2814,-0.005613,0.003496,-0.001317
2815,-0.005607,0.003566,-0.001293
2816,-0.005601,0.003636,-0.001272
4497,-0.005192,0.002546,-0.000313
4498,-0.005186,0.002618,-0.000284
4499,-0.005180,0.002691,-0.000256
4500,-0.005174,0.002763,-0.000227
4501,-0.005168,0.002835,-0.000198
7517,-0.004751,-0.002264,-0.000085
7518,-0.004753,-0.002190,-0.000039
7519,-0.004754,-0.002117,0.000006
7520,-0.004755,-0.002043,0.000050
7521,-0.004754,-0.001968,0.000093
1961,-0.005458,0.000501,-0.004101
1962,-0.005500,0.000561,-0.004038
1963,-0.005540,0.000616,-0.003973
1964,-0.005577,0.000666,-0.003907
1965,-0.005610,0.000713,-0.003842
5734,-0.004594,-0.003009,-0.002487
5735,-0.004625,-0.002960,-0.002426
5736,-0.004655,-0.002909,-0.002366
5737,-0.004684,-0.002857,-0.002307
5738,-0.004712,-0.002804,-0.002250
3613,-0.005399,0.003273,-0.000700
3614,-0.005392,0.003345,-0.000671
3615,-0.005384,0.003417,-0.000642
3616,-0.005376,0.003490,-0.000613
3617,-0.005367,0.003563,-0.000584
7285,-0.004632,-0.000268,0.000604
7286,-0.004616,-0.000189,0.000626
7287,-0.004600,-0.000110,0.000648
7288,-0.004583,-0.000031,0.000669
7289,-0.004566,0.000047,0.000689
