"vtkOriginalPointIds,""Points:0"",""Points:1"",""Points:2"""
3971,-0.0043094,-0.0023134,-0.0036337
5489,-0.0041313,-0.0031438,-0.0026433
7106,-0.0038785,-0.0038198,-0.0016174
8537,-0.0036142,-0.0042762,-0.00077594
9880,-0.0031048,-0.0046214,-0.0002422
11981,-0.0020767,-0.0049239,0.00046474
13554,-0.0011915,-0.0055387,0.00059509
15603,2.9216e-05,-0.005713,0.00072698
17646,0.0012007,-0.0056056,0.00041618
19657,0.0023159,-0.0049148,0.00025622
21472,0.0032522,-0.0045515,-0.00023435
23079,0.0037899,-0.0041025,-0.00092117
24633,0.0041208,-0.0034693,-0.001753
25997,0.0042555,-0.0029381,-0.0026774
27284,0.0044124,-0.0022145,-0.003523
14742,-0.00058629,-0.0040871,0.0021744
14158,-0.00096509,-0.0038896,0.0020907
13440,-0.0014206,-0.0031829,0.0018028
16509,0.00063596,-0.00401,0.0022462
17237,0.0010834,-0.0038521,0.0020346
17965,0.0015283,-0.0032737,0.0017507
14455,-0.00073562,-0.0034126,0.0021774
15634,2.2934e-05,-0.0034933,0.0022749
16804,0.00080305,-0.0035195,0.0022185
14316,-0.00083648,-0.002919,0.0025698
15641,1.4376e-05,-0.0029057,0.0027682
16813,0.00078404,-0.0028851,0.0026413
14029,-0.0010847,-0.0024868,0.0027221
16963,0.00094052,-0.0025488,0.0028275
15676,4.8724e-06,3.5283e-05,0.0034919
15684,4.7968e-06,0.00060219,0.003122
10501,-0.0027389,0.00084396,0.0019917
11767,-0.0019992,0.0008014,0.0021312
11775,-0.0019419,0.0014788,0.002163
10508,-0.0027332,0.0013953,0.0020928
20012,0.0022309,0.00093711,0.0020378
21266,0.0029995,0.00081239,0.0019227
20020,0.0022373,0.0015268,0.0022737
21412,0.0030809,0.0013565,0.0021164
13650,-0.0010868,0.0020276,0.0031471
11929,-0.0020594,0.0021104,0.0030565
10243,-0.0030664,0.0019773,0.0028399
9017,-0.0037683,0.0017609,0.0023901
7566,-0.0043791,0.001522,0.0014778
17455,0.00094129,0.0020636,0.0032287
19893,0.0023362,0.0023564,0.0031733
21561,0.0033179,0.0021908,0.0028252
22763,0.0039814,0.0018463,0.0022524
24063,0.0044533,0.0013898,0.0012122
