"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4082,-0.0046395,-0.0021605,-0.0033903
4083,-0.0046687,-0.0021099,-0.0033444
4194,-0.0046279,-0.0022242,-0.0033299
4195,-0.0046574,-0.002174,-0.0032821
4196,-0.0046874,-0.0021223,-0.0032364
4197,-0.0047179,-0.0020691,-0.0031928
4307,-0.0046172,-0.0022876,-0.0032696
4308,-0.0046471,-0.0022375,-0.0032203
4309,-0.0046772,-0.0021861,-0.0031731
4310,-0.0047075,-0.0021333,-0.0031276
4421,-0.0046065,-0.0023505,-0.0032093
4422,-0.0046367,-0.0023003,-0.0031588
4423,-0.004667,-0.0022488,-0.0031102
4424,-0.0046969,-0.0021965,-0.0030632
4538,-0.0046263,-0.0023627,-0.0030974
4539,-0.0046565,-0.0023112,-0.0030473
4540,-0.0046863,-0.0022587,-0.0029985
5976,-0.0043725,-0.003244,-0.0025091
5977,-0.0044077,-0.003195,-0.0024453
6098,-0.0043174,-0.0033498,-0.0025055
6099,-0.0043542,-0.0033014,-0.0024405
6100,-0.00439,-0.0032526,-0.0023765
6222,-0.0042979,-0.0034067,-0.0024366
6223,-0.0043352,-0.0033585,-0.0023713
6224,-0.0043716,-0.0033099,-0.0023073
6347,-0.0043155,-0.0034152,-0.0023022
7177,-0.0042988,0.0014993,0.0011164
7304,-0.0042486,0.0013083,0.0011182
7305,-0.0042471,0.0013846,0.0011505
7306,-0.0042458,0.001461,0.0011821
7307,-0.0042443,0.0015379,0.0012127
7432,-0.0041895,0.0012712,0.0011803
7433,-0.0041899,0.0013469,0.0012141
7434,-0.0041909,0.0014229,0.001247
7435,-0.0041912,0.0014995,0.0012786
7436,-0.0041912,0.0015766,0.0013093
7562,-0.0041302,0.0013096,0.0012767
7563,-0.0041333,0.001385,0.001311
7564,-0.004136,0.0014611,0.0013438
7565,-0.004138,0.001538,0.0013753
7745,-0.0039567,-0.0041124,-0.0016542
7875,-0.0038836,-0.0042057,-0.0016512
7876,-0.0039235,-0.004163,-0.0015853
7877,-0.0039625,-0.0041189,-0.0015213
7878,-0.0040014,-0.0040741,-0.0014582
8006,-0.0038481,-0.0042552,-0.0015834
8007,-0.0038883,-0.0042129,-0.0015168
8008,-0.0039276,-0.0041694,-0.0014522
8009,-0.0039668,-0.0041252,-0.001388
8138,-0.0038507,-0.004262,-0.0014487
8139,-0.0038907,-0.0042192,-0.0013828
8486,-0.0037645,0.0018437,0.0020026
8487,-0.0037625,0.001928,0.0020264
8616,-0.0037031,0.0017269,0.0020315
8617,-0.0037055,0.0018106,0.0020583
8618,-0.0037047,0.001895,0.0020829
8619,-0.0037014,0.0019797,0.0021056
8749,-0.00364,0.0016951,0.0020829
8750,-0.0036439,0.0017786,0.002111
8751,-0.0036445,0.0018629,0.0021366
8752,-0.0036425,0.0019476,0.0021604
8881,-0.003575,0.0016647,0.0021317
8882,-0.00358,0.0017479,0.0021608
8883,-0.0035821,0.0018318,0.0021878
8884,-0.0035814,0.0019163,0.0022127
9334,-0.0034721,-0.0046192,-0.00082289
9335,-0.0035069,-0.0045767,-0.00075111
9468,-0.0033808,-0.0046966,-0.00083634
9469,-0.0034158,-0.0046561,-0.00076532
9470,-0.0034499,-0.0046139,-0.00069418
9471,-0.0034829,-0.0045696,-0.00062362
9603,-0.0033223,-0.0047321,-0.0007789
9604,-0.0033568,-0.0046917,-0.00070803
9605,-0.0033903,-0.0046499,-0.00063747
9606,-0.003423,-0.0046057,-0.00056735
9740,-0.0032955,-0.0047262,-0.00065188
9820,-0.0030393,0.0012498,0.0022858
9831,-0.0030964,0.0021491,0.0026297
9832,-0.0030921,0.0022348,0.0026502
9833,-0.0030868,0.0023209,0.0026694
9949,-0.0028931,0.00059655,0.0020285
9950,-0.0028749,0.00068824,0.0020354
9956,-0.0029448,0.0011613,0.0022629
9957,-0.0029624,0.0012318,0.0023102
9958,-0.0029782,0.0013033,0.0023562
9968,-0.0030248,0.0021244,0.0026649
9969,-0.0030218,0.00221,0.0026868
9970,-0.0030177,0.0022958,0.0027072
9971,-0.0030124,0.0023823,0.0027261
10086,-0.0028281,0.00057568,0.0020596
10087,-0.0028107,0.000667,0.0020664
10088,-0.0028043,0.00075787,0.0020836
10093,-0.0028685,0.0011453,0.0022846
10094,-0.0028845,0.001215,0.0023319
10095,-0.0028997,0.0012859,0.0023781
10105,-0.002952,0.0021004,0.0026973
10106,-0.00295,0.0021858,0.0027204
10107,-0.002947,0.0022715,0.0027422
10108,-0.0029429,0.0023578,0.0027624
10224,-0.0027607,0.00055425,0.0020888
10225,-0.0027434,0.00064547,0.0020952
10232,-0.0028064,0.0011992,0.0023511
10233,-0.0028207,0.0012689,0.0023976
10243,-0.0028779,0.0020776,0.0027264
10244,-0.0028771,0.0021625,0.0027515
10245,-0.002875,0.0022482,0.0027743
10246,-0.0028721,0.0023342,0.0027961
10363,-0.0026734,0.00062362,0.002121
10382,-0.0028031,0.0021403,0.0027793
10383,-0.002802,0.0022258,0.0028037
10567,-0.0028628,-0.004955,-0.00040715
10569,-0.0029226,-0.0048738,-0.00026732
10706,-0.0027621,-0.0050223,-0.00042953
10707,-0.002792,-0.0049833,-0.00035909
10708,-0.0028213,-0.0049435,-0.00028896
10709,-0.0028499,-0.0049027,-0.00021941
10845,-0.0026613,-0.0050877,-0.00045248
10846,-0.0026907,-0.0050496,-0.00038207
10847,-0.0027198,-0.0050109,-0.00031199
10848,-0.0027483,-0.0049712,-0.00024219
10849,-0.0027761,-0.0049307,-0.00017286
10986,-0.002618,-0.0050767,-0.00033609
10987,-0.0026462,-0.0050379,-0.00026609
10988,-0.0026738,-0.0049984,-0.00019661
11203,-0.0022202,0.00057255,0.0022173
11210,-0.0022555,0.0011576,0.0024475
11211,-0.0022634,0.0012279,0.002496
11343,-0.0021575,0.00046091,0.0022305
11344,-0.0021445,0.00054993,0.0022263
11345,-0.0021358,0.00063845,0.0022289
11351,-0.0021723,0.0011414,0.0024382
11352,-0.0021801,0.0012138,0.0024867
11353,-0.002188,0.0012852,0.0025359
11484,-0.0020812,0.00043923,0.0022407
11485,-0.0020682,0.00052922,0.0022347
11486,-0.0020592,0.00061804,0.0022331
11487,-0.0020556,0.00070612,0.0022424
11492,-0.0020884,0.0011241,0.0024284
11493,-0.002096,0.0011991,0.0024753
