"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3962,-0.0048692,-0.0025499,-0.0039446
3963,-0.0048746,-0.002487,-0.0038903
3964,-0.0048845,-0.0024237,-0.0038377
4073,-0.0048554,-0.0026717,-0.0039607
4074,-0.0048631,-0.0026105,-0.0039021
4075,-0.0048708,-0.0025473,-0.0038454
4076,-0.004881,-0.0024831,-0.0037898
4077,-0.0048957,-0.0024188,-0.0037345
4078,-0.0049136,-0.0023551,-0.0036798
4185,-0.0048483,-0.0027355,-0.003918
4186,-0.0048565,-0.0026722,-0.0038573
4187,-0.0048651,-0.0026082,-0.0037981
4188,-0.0048758,-0.0025432,-0.0037396
4189,-0.0048888,-0.0024783,-0.0036816
4190,-0.0049038,-0.0024143,-0.0036246
4191,-0.0049187,-0.0023517,-0.0035701
4298,-0.0048404,-0.0028006,-0.0038744
4299,-0.0048487,-0.0027363,-0.0038106
4300,-0.0048581,-0.0026716,-0.0037485
4301,-0.0048694,-0.0026065,-0.003688
4302,-0.0048816,-0.0025414,-0.0036279
4303,-0.0048942,-0.0024773,-0.0035688
4304,-0.0049076,-0.0024142,-0.003512
4305,-0.0049212,-0.0023511,-0.0034579
4411,-0.0048157,-0.0029237,-0.0038943
4412,-0.0048287,-0.0028649,-0.0038278
4413,-0.0048393,-0.0028018,-0.003762
4414,-0.0048507,-0.0027376,-0.0036976
4415,-0.0048632,-0.0026731,-0.0036352
4416,-0.004875,-0.0026082,-0.0035738
4417,-0.0048861,-0.0025437,-0.0035134
4418,-0.0048983,-0.0024798,-0.0034547
4419,-0.0049114,-0.002416,-0.0033985
4527,-0.0047938,-0.0029815,-0.0038434
4528,-0.0048118,-0.0029265,-0.0037766
4529,-0.0048275,-0.0028669,-0.0037106
4530,-0.0048423,-0.0028045,-0.0036451
4531,-0.0048563,-0.0027411,-0.003581
4532,-0.0048682,-0.0026766,-0.0035186
4533,-0.0048785,-0.0026114,-0.0034575
4534,-0.0048899,-0.0025465,-0.0033975
4535,-0.0049024,-0.0024825,-0.0033392
4536,-0.0049159,-0.0024186,-0.003283
4643,-0.004768,-0.0030351,-0.0037892
4644,-0.0047914,-0.0029846,-0.0037223
4645,-0.0048132,-0.00293,-0.0036562
4646,-0.004832,-0.0028706,-0.0035902
4647,-0.0048475,-0.0028082,-0.0035253
4648,-0.0048598,-0.0027439,-0.0034616
4649,-0.0048701,-0.0026781,-0.0033997
4650,-0.0048806,-0.0026128,-0.0033388
4651,-0.0048929,-0.0025487,-0.0032793
4652,-0.0049065,-0.002485,-0.0032213
4653,-0.004921,-0.0024209,-0.0031652
4761,-0.0047723,-0.0030422,-0.0036663
4762,-0.0047975,-0.0029913,-0.0035998
4763,-0.0048185,-0.0029344,-0.0035335
4764,-0.0048353,-0.0028729,-0.0034679
4765,-0.0048485,-0.0028087,-0.0034034
4766,-0.0048593,-0.0027431,-0.0033403
4767,-0.0048701,-0.0026781,-0.003279
4768,-0.0048828,-0.0026142,-0.0032185
4769,-0.0048964,-0.0025505,-0.003159
4770,-0.0049105,-0.0024865,-0.0031018
4879,-0.0047565,-0.0031029,-0.0036083
4880,-0.0047814,-0.0030524,-0.0035415
4881,-0.0048021,-0.002996,-0.0034746
4882,-0.004819,-0.0029349,-0.0034084
4883,-0.0048332,-0.0028714,-0.0033438
4884,-0.0048456,-0.0028069,-0.0032805
4885,-0.0048578,-0.0027426,-0.0032184
4886,-0.0048706,-0.0026788,-0.003157
4887,-0.0048842,-0.0026149,-0.0030966
4888,-0.0048982,-0.002551,-0.003038
4998,-0.0047638,-0.0031131,-0.0034808
4999,-0.0047835,-0.0030565,-0.0034137
5000,-0.0048003,-0.0029958,-0.0033473
5001,-0.0048151,-0.002933,-0.0032827
5002,-0.0048292,-0.0028696,-0.0032195
5003,-0.0048424,-0.0028061,-0.0031567
5004,-0.0048557,-0.0027423,-0.0030944
5005,-0.0048692,-0.0026783,-0.0030332
5006,-0.0048832,-0.0026144,-0.0029735
5007,-0.0048982,-0.0025507,-0.0029157
5118,-0.0047444,-0.0031733,-0.0034175
5119,-0.0047642,-0.003117,-0.0033504
5120,-0.0047816,-0.003057,-0.0032845
5121,-0.0047971,-0.0029948,-0.00322
5122,-0.0048118,-0.0029318,-0.0031565
5123,-0.004826,-0.0028685,-0.0030933
5124,-0.0048396,-0.0028048,-0.0030304
5125,-0.0048532,-0.0027409,-0.0029684
5126,-0.0048674,-0.002677,-0.0029079
5127,-0.0048827,-0.0026134,-0.0028491
5240,-0.0047455,-0.0031778,-0.003286
5241,-0.004764,-0.0031188,-0.0032204
5242,-0.0047807,-0.0030574,-0.0031559
5243,-0.0047961,-0.0029944,-0.0030919
5244,-0.0048107,-0.002931,-0.0030284
5245,-0.0048249,-0.0028674,-0.0029651
5246,-0.0048389,-0.0028035,-0.0029026
5247,-0.0048533,-0.0027397,-0.0028415
5248,-0.0048685,-0.002676,-0.002782
5361,-0.0047468,-0.0031811,-0.0031559
5362,-0.004765,-0.0031201,-0.0030908
5363,-0.0047816,-0.0030573,-0.0030263
5364,-0.0047969,-0.0029937,-0.0029624
5365,-0.0048117,-0.0029302,-0.0028991
5366,-0.0048266,-0.0028667,-0.0028361
5367,-0.0048416,-0.0028032,-0.0027743
5368,-0.0048566,-0.0027393,-0.0027141
5483,-0.0047488,-0.003183,-0.0030252
5484,-0.0047662,-0.0031199,-0.00296
5485,-0.0047819,-0.003056,-0.0028955
5486,-0.0047973,-0.0029924,-0.0028318
5487,-0.0048135,-0.0029295,-0.0027689
5488,-0.0048297,-0.0028665,-0.0027068
5607,-0.0047633,-0.0031172,-0.002828
5608,-0.004779,-0.0030533,-0.0027637
5609,-0.0047963,-0.0029908,-0.0027009
7359,-0.0043999,-0.0039707,-0.0017753
7360,-0.0044235,-0.0039091,-0.0017228
7361,-0.004447,-0.0038475,-0.0016692
7486,-0.0043091,-0.0041515,-0.0018132
7487,-0.0043354,-0.0040929,-0.0017559
7488,-0.0043605,-0.0040328,-0.0017009
7489,-0.0043848,-0.0039714,-0.0016476
7490,-0.004409,-0.0039097,-0.0015934
7491,-0.0044333,-0.0038493,-0.0015356
7614,-0.0042391,-0.004268,-0.0017975
7615,-0.0042668,-0.0042113,-0.0017371
7616,-0.0042934,-0.0041527,-0.0016811
7617,-0.0043189,-0.0040925,-0.0016266
7618,-0.0043438,-0.0040313,-0.0015724
7619,-0.0043688,-0.0039703,-0.001517
7620,-0.0043937,-0.0039107,-0.0014583
7621,-0.0044183,-0.0038518,-0.0013963
7743,-0.0041967,-0.0043264,-0.0017197
7744,-0.0042245,-0.0042704,-0.0016584
7745,-0.0042504,-0.0042112,-0.0016026
7746,-0.0042758,-0.0041508,-0.0015485
7747,-0.0043017,-0.0040904,-0.001494
7748,-0.0043279,-0.0040302,-0.0014377
7749,-0.0043537,-0.003971,-0.0013778
7750,-0.0043789,-0.0039131,-0.0013144
7873,-0.0041239,-0.004437,-0.0017081
7874,-0.0041534,-0.0043845,-0.0016397
7875,-0.0041807,-0.0043292,-0.0015766
7876,-0.004206,-0.0042696,-0.0015197
7877,-0.0042315,-0.004209,-0.0014655
7878,-0.0042588,-0.0041493,-0.0014106
7879,-0.0042868,-0.0040902,-0.0013534
7880,-0.0043141,-0.0040314,-0.0012925
7881,-0.00434,-0.0039737,-0.0012281
7882,-0.0043647,-0.0039167,-0.0011619
8004,-0.0040782,-0.0044953,-0.0016295
8005,-0.0041072,-0.0044426,-0.0015582
8006,-0.004134,-0.0043872,-0.0014927
8007,-0.0041596,-0.0043279,-0.001434
8008,-0.0041863,-0.0042677,-0.0013789
8009,-0.0042151,-0.0042087,-0.001323
8010,-0.0042448,-0.0041504,-0.0012641
8011,-0.0042734,-0.004092,-0.0012024
8012,-0.0042999,-0.0040341,-0.0011383
8013,-0.0043249,-0.0039768,-0.0010724
8135,-0.0040305,-0.0045532,-0.0015478
8136,-0.0040578,-0.0045004,-0.0014757
8137,-0.0040843,-0.0044447,-0.0014083
8138,-0.0041111,-0.0043861,-0.0013477
8139,-0.0041395,-0.004327,-0.0012908
