"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4192,-0.0047036,-0.0023254,-0.0033985
5853,-0.0045102,-0.0031644,-0.0025462
7103,-0.0042857,-0.0037295,-0.0018551
8403,-0.0039221,-0.0042599,-0.0011614
10152,-0.0031229,-0.0048132,-0.00044674
11976,-0.0020821,-0.0052261,-1.979e-05
15603,-1.5832e-14,-0.005871,0.00047616
19227,0.0020821,-0.0052261,-1.979e-05
21056,0.0031229,-0.0048132,-0.00044674
22811,0.0039221,-0.0042599,-0.0011614
24118,0.0042857,-0.0037295,-0.0018551
25376,0.0045102,-0.0031644,-0.0025462
27051,0.0047036,-0.0023254,-0.0033985
7562,-0.0042476,0.0012885,0.0012361
9284,-0.0034665,0.0016992,0.0022566
10660,-0.0027058,0.0020486,0.0027599
12500,-0.001694,0.0020086,0.0030257
14226,-0.0007524,0.0014883,0.0029818
17160,0.0007524,0.0014883,0.0029818
18893,0.001694,0.0020086,0.0030257
20732,0.0027058,0.0020486,0.0027599
22095,0.0034665,0.0016992,0.0022566
23803,0.0042476,0.0012885,0.0012361
15682,1.1642e-15,8.9338e-05,0.0030988
15674,-3.698e-16,-0.00051991,0.0034939
10509,-0.0027294,0.0012492,0.0023105
11635,-0.0020542,0.0012746,0.0024013
11628,-0.0020318,0.00073512,0.0021274
10503,-0.0026904,0.00081239,0.0020654
19738,0.0020542,0.0012746,0.0024013
20860,0.0027294,0.0012492,0.0023105
20854,0.0026904,0.00081239,0.0020654
19731,0.0020318,0.00073512,0.0021274
14174,-0.00098753,-0.0028683,0.0025405
17108,0.00098753,-0.0028683,0.0025405
16948,0.00089653,-0.0039061,0.0019277
16218,0.00039396,-0.0041038,0.0020106
15037,-0.00039396,-0.0041038,0.0020106
14306,-0.00089653,-0.0039061,0.0019277
13585,-0.0014007,-0.003312,0.0017858
15049,-0.00038846,-0.0030654,0.0023768
15642,-7.6086e-15,-0.0030656,0.0024614
16230,0.00038846,-0.0030654,0.0023768
17679,0.0014007,-0.003312,0.0017858
16223,0.00039501,-0.0036124,0.0020931
15635,-9.102e-15,-0.003578,0.0020995
15042,-0.00039501,-0.0036124,0.0020931
14718,-0.00054403,-0.0058142,0.00049492
16484,0.00054403,-0.0058142,0.00049492
