"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3971,-0.0051105,-0.0021677,-0.003264
3972,-0.0051429,-0.0021014,-0.0032158
4082,-0.0050601,-0.0023092,-0.0032482
4083,-0.0050943,-0.0022438,-0.0032019
4084,-0.0051261,-0.0021797,-0.0031556
4085,-0.0051562,-0.0021172,-0.003111
4194,-0.005041,-0.0023812,-0.003182
4195,-0.0050746,-0.0023181,-0.0031364
4196,-0.0051069,-0.0022568,-0.0030914
4197,-0.0051381,-0.0021972,-0.0030472
4198,-0.0051689,-0.0021386,-0.0030037
4308,-0.0050549,-0.0023922,-0.0030687
4309,-0.0050883,-0.0023336,-0.0030239
4310,-0.0051209,-0.0022764,-0.0029795
4311,-0.0051527,-0.0022194,-0.0029349
4424,-0.0051056,-0.002354,-0.0029096
5611,-0.0049019,-0.0031585,-0.0023203
5612,-0.004941,-0.0031086,-0.0022659
5613,-0.0049799,-0.0030572,-0.002212
5614,-0.0050187,-0.003004,-0.0021584
5734,-0.0048861,-0.0032222,-0.0022504
5735,-0.0049258,-0.0031731,-0.0021953
5736,-0.0049649,-0.0031223,-0.0021406
5737,-0.0050038,-0.0030696,-0.0020863
5856,-0.0048702,-0.0032842,-0.0021804
5857,-0.0049104,-0.0032359,-0.0021243
5858,-0.0049496,-0.0031857,-0.0020687
5859,-0.0049883,-0.0031334,-0.0020136
5980,-0.0048945,-0.0032972,-0.0020532
5981,-0.0049337,-0.0032475,-0.0019966
7106,-0.0046302,-0.0038676,-0.0014551
7107,-0.0046741,-0.0038212,-0.0013909
7108,-0.0047178,-0.0037735,-0.0013275
7109,-0.0047606,-0.0037236,-0.0012646
7235,-0.0045999,-0.0039227,-0.0013824
7236,-0.0046431,-0.0038765,-0.0013182
7237,-0.0046862,-0.0038287,-0.0012543
7238,-0.0047289,-0.0037788,-0.0011908
7239,-0.0047698,-0.003727,-0.0011282
7309,-0.0044743,0.0015168,0.0013356
7310,-0.004466,0.0015898,0.0013638
7311,-0.0044573,0.0016634,0.0013908
7312,-0.0044486,0.0017371,0.001417
7364,-0.0046106,-0.0039311,-0.0012461
7365,-0.0046531,-0.0038833,-0.0011822
7366,-0.0046953,-0.0038336,-0.0011186
7367,-0.0047362,-0.003782,-0.0010555
7437,-0.0044167,0.0014838,0.0013888
7438,-0.0044096,0.001557,0.0014179
7439,-0.0044016,0.0016308,0.0014453
7440,-0.0043934,0.0017049,0.0014718
7494,-0.0046173,-0.0039371,-0.0011106
7495,-0.0046586,-0.0038877,-0.0010471
7566,-0.0043566,0.0014512,0.0014399
7567,-0.0043512,0.0015241,0.0014706
7568,-0.0043442,0.0015981,0.0014986
7569,-0.0043364,0.0016726,0.0015254
7696,-0.0042901,0.0014914,0.0015207
7697,-0.0042851,0.0015652,0.0015505
7699,-0.0042699,0.0017156,0.0016039
8276,-0.0043493,-0.0042317,-0.00069091
8406,-0.0042196,-0.0043722,-0.00075977
8407,-0.0042597,-0.0043255,-0.00069126
8408,-0.0042972,-0.0042766,-0.00062441
8409,-0.0043325,-0.004225,-0.00055906
8537,-0.0041645,-0.0044154,-0.00069582
8538,-0.0042049,-0.0043686,-0.00062703
8539,-0.0042421,-0.0043193,-0.00055962
8540,-0.0042763,-0.0042669,-0.00049389
8671,-0.0041456,-0.004409,-0.00056394
8672,-0.0041829,-0.0043593,-0.00049593
8673,-0.0042169,-0.0043067,-0.00042967
8674,-0.0042485,-0.0042517,-0.0003653
8751,-0.0037238,0.0017241,0.0020236
8752,-0.0037176,0.0018025,0.0020483
8753,-0.0037088,0.0018813,0.0020699
8754,-0.0036991,0.0019599,0.0020897
8755,-0.003688,0.0020384,0.0021073
8803,-0.004082,-0.0044468,-0.0005007
8804,-0.0041198,-0.0043971,-0.00043226
8805,-0.0041542,-0.0043446,-0.00036583
8883,-0.0036496,0.0017029,0.0020541
8884,-0.0036449,0.0017804,0.0020805
8885,-0.003638,0.0018587,0.0021039
8886,-0.0036289,0.0019371,0.0021244
8887,-0.0036187,0.0020153,0.0021432
9017,-0.0035702,0.0017598,0.0021095
9018,-0.0035648,0.0018373,0.0021346
9019,-0.0035573,0.0019152,0.0021568
9020,-0.0035478,0.0019931,0.0021765
9677,-0.0031664,0.00076608,0.0016986
9812,-0.0031276,0.00068003,0.00174
9813,-0.0030976,0.00075761,0.0017186
9814,-0.0030717,0.00083193,0.0017098
9822,-0.0030895,0.0013764,0.0020577
9823,-0.0030943,0.0014438,0.0021051
9824,-0.0030976,0.0015124,0.0021491
9830,-0.0030873,0.0019542,0.0023428
9831,-0.0030824,0.0020305,0.0023662
9832,-0.003077,0.0021068,0.0023883
9833,-0.0030708,0.0021837,0.0024093
9882,-0.0034887,-0.0046706,-4.1473e-05
9883,-0.0035181,-0.0046201,2.8938e-05
9884,-0.003546,-0.0045677,9.8084e-05
9948,-0.003084,0.00058716,0.0017845
9949,-0.0030549,0.0006687,0.0017603
9950,-0.0030243,0.00074854,0.0017344
9951,-0.0029983,0.00082404,0.0017214
9952,-0.0029834,0.00089375,0.0017336
9959,-0.0030085,0.0013622,0.0020658
9960,-0.0030131,0.0014291,0.0021142
9961,-0.0030162,0.001497,0.002159
9967,-0.0030092,0.0019373,0.0023592
9968,-0.0030052,0.0020132,0.0023841
9969,-0.0030006,0.0020892,0.0024077
9970,-0.0029949,0.0021661,0.0024292
9971,-0.0029881,0.0022439,0.0024479
10018,-0.0033748,-0.004737,-6.2498e-05
10019,-0.0034051,-0.004688,8.5356e-06
10020,-0.0034339,-0.0046372,7.8838e-05
10021,-0.0034611,-0.0045845,0.00014795
10085,-0.0030082,0.00057359,0.0018038
10086,-0.0029788,0.00065614,0.0017752
10087,-0.0029483,0.0007374,0.0017444
10096,-0.0029268,0.0013496,0.0020706
10097,-0.0029314,0.0014156,0.0021201
10098,-0.0029354,0.0014822,0.0021675
10104,-0.0029311,0.0019208,0.0023743
10105,-0.0029272,0.0019967,0.0023996
