"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4195,-0.0042638,-0.002344,-0.0033
4196,-0.0042972,-0.0022959,-0.0032534
4197,-0.0043308,-0.0022448,-0.0032088
4307,-0.0042249,-0.0024445,-0.0032907
4308,-0.0042586,-0.002398,-0.0032414
4309,-0.0042914,-0.0023483,-0.0031936
4310,-0.0043241,-0.0022956,-0.0031477
4311,-0.0043573,-0.0022405,-0.0031035
4421,-0.0042181,-0.002498,-0.003233
4422,-0.004252,-0.0024504,-0.0031828
4423,-0.0042845,-0.0023997,-0.0031337
4424,-0.0043167,-0.002346,-0.0030863
4425,-0.0043493,-0.0022903,-0.003041
4537,-0.0042099,-0.0025498,-0.003175
4538,-0.0042441,-0.0025013,-0.0031235
4539,-0.0042767,-0.0024501,-0.0030732
4540,-0.0043085,-0.0023963,-0.0030247
4654,-0.0042347,-0.0025516,-0.0030638
6100,-0.0039877,-0.003261,-0.0024294
6101,-0.0040243,-0.0032109,-0.0023722
6102,-0.0040602,-0.0031595,-0.0023156
6223,-0.0039327,-0.0033599,-0.0024231
6224,-0.0039699,-0.0033106,-0.0023647
6225,-0.0040068,-0.0032608,-0.0023072
6226,-0.0040438,-0.0032099,-0.0022504
6227,-0.0040808,-0.0031578,-0.0021941
6347,-0.0039159,-0.0034095,-0.0023596
6348,-0.003953,-0.0033603,-0.0023006
6349,-0.0039904,-0.0033104,-0.0022425
6350,-0.0040281,-0.0032596,-0.0021851
6351,-0.0040662,-0.0032077,-0.0021286
6473,-0.0039371,-0.00341,-0.0022369
6474,-0.0039751,-0.0033599,-0.0021782
6475,-0.0040134,-0.0033089,-0.0021202
6476,-0.0040518,-0.003257,-0.0020632
6599,-0.0039606,-0.0034095,-0.0021141
6600,-0.0039991,-0.0033585,-0.0020555
7305,-0.0043869,0.0015026,0.0012511
7431,-0.0043435,0.0013107,0.0012524
7432,-0.004345,0.0013872,0.0012884
7433,-0.0043461,0.001464,0.0013236
7434,-0.0043468,0.0015409,0.0013579
7561,-0.0042997,0.0013498,0.0013583
7562,-0.0043027,0.0014258,0.0013948
7563,-0.0043048,0.0015022,0.0014302
7564,-0.0043063,0.001579,0.0014644
7619,-0.0037834,-0.0038359,-0.0016656
7691,-0.0042558,0.0013881,0.0014645
7692,-0.0042594,0.0014637,0.0015007
7746,-0.0036827,-0.0039708,-0.0017378
