"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4305,-0.0045569,-0.0023846,-0.003375
4306,-0.0045873,-0.0023365,-0.0033211
4307,-0.0046172,-0.0022876,-0.0032696
4419,-0.0045457,-0.0024479,-0.0033176
4420,-0.0045762,-0.0023996,-0.0032622
4421,-0.0046065,-0.0023505,-0.0032093
4536,-0.0045656,-0.0024624,-0.0032033
4537,-0.0045959,-0.0024131,-0.0031493
4538,-0.0046263,-0.0023627,-0.0030974
5731,-0.0044068,-0.0031274,-0.0026428
5852,-0.0043542,-0.0032347,-0.0026407
5853,-0.0043901,-0.0031861,-0.0025766
5854,-0.0044248,-0.0031369,-0.0025132
5855,-0.0044584,-0.0030873,-0.0024507
5976,-0.0043725,-0.003244,-0.0025091
5977,-0.0044077,-0.003195,-0.0024453
5978,-0.0044419,-0.0031456,-0.0023826
6100,-0.00439,-0.0032526,-0.0023765
7231,-0.0041146,-0.0038579,-0.0018695
7232,-0.0041537,-0.003811,-0.0018084
7233,-0.0041929,-0.0037631,-0.0017464
7234,-0.0042317,-0.0037144,-0.0016825
7359,-0.0040869,-0.0039116,-0.0017985
7360,-0.0041258,-0.0038651,-0.0017374
7361,-0.0041649,-0.0038175,-0.0016757
8085,-0.0038987,0.0013834,0.0016249
8086,-0.003909,0.001461,0.0016577
8087,-0.0039174,0.0015402,0.0016885
8088,-0.0039241,0.0016204,0.0017178
8217,-0.003845,0.0014233,0.0017152
8218,-0.0038558,0.0015028,0.0017467
8349,-0.0037922,0.0014665,0.0018025
8799,-0.0037142,-0.0044127,-0.00098739
8800,-0.0037526,-0.0043694,-0.00091735
8801,-0.0037887,-0.0043239,-0.00084779
8932,-0.0036651,-0.0044564,-0.0009271
8933,-0.0037028,-0.0044125,-0.0008561
8934,-0.0037382,-0.0043665,-0.0007858
9067,-0.0036508,-0.0044539,-0.00079589
9068,-0.0036855,-0.0044073,-0.00072572
9287,-0.0033837,0.0019974,0.0024037
9421,-0.003317,0.001885,0.0024223
9422,-0.003316,0.0019697,0.0024469
9423,-0.0033125,0.0020554,0.0024687
9556,-0.0032461,0.0018591,0.0024614
9557,-0.0032462,0.0019432,0.0024871
9558,-0.003244,0.0020286,0.0025103
9692,-0.0031743,0.001918,0.0025243
9693,-0.0031735,0.0020028,0.002549
10224,-0.0027607,0.00055425,0.0020888
10291,-0.0030637,-0.0048135,-0.00036739
10292,-0.003094,-0.0047708,-0.00029818
10293,-0.0031235,-0.0047267,-0.00022945
10362,-0.0026909,0.0005323,0.0021157
10363,-0.0026734,0.00062362,0.002121
10364,-0.0026648,0.00071459,0.0021344
10370,-0.0027279,0.0011839,0.0023679
10371,-0.0027416,0.001252,0.002415
10428,-0.0029634,-0.0048854,-0.00038626
10429,-0.0029937,-0.004844,-0.00031664
10430,-0.0030233,-0.0048017,-0.00024755
10431,-0.0030521,-0.004758,-0.00017885
10500,-0.0026195,0.00050984,0.0021392
10501,-0.0026017,0.00060172,0.0021429
10502,-0.002592,0.00069309,0.0021534
10508,-0.0026493,0.0011689,0.002382
10509,-0.0026615,0.001236,0.0024292
10569,-0.0029226,-0.0048738,-0.00026732
10802,-0.0025803,0.0022474,0.0029074
10803,-0.0025803,0.0023329,0.002935
10941,-0.0025035,0.0021425,0.0028988
10942,-0.0025056,0.0022271,0.0029304
10943,-0.0025065,0.0023123,0.0029599
10944,-0.0025065,0.0023978,0.002988
11082,-0.0024304,0.0022073,0.0029518
11083,-0.0024323,0.0022922,0.0029835
11084,-0.0024332,0.0023775,0.0030131
11225,-0.0023594,0.0023576,0.0030373
