"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3965,-0.0045037,-0.0023373,-0.0037187
5485,-0.004402,-0.0030561,-0.0028351
7102,-0.0041413,-0.0038031,-0.0019417
7437,-0.0041903,0.0016546,0.0013387
8532,-0.0037256,-0.0044042,-0.0012501
8887,-0.0035645,0.0021723,0.0022735
10094,-0.0028845,0.001215,0.0023319
10149,-0.0030012,-0.0049433,-0.00070069
10225,-0.0027434,0.00064547,0.0020952
10804,-0.0025794,0.0024187,0.0029612
11486,-0.0020592,0.00061804,0.0022331
11494,-0.0021041,0.0012723,0.0025247
12118,-0.00202,-0.005358,-7.8231e-05
12647,-0.0016194,0.0023436,0.003316
13440,-0.0015107,-0.0034735,0.0016116
13883,-0.0011604,-0.0029718,0.002418
14013,-0.0010929,-0.0040406,0.0017657
14230,-0.00077374,0.0017905,0.0032998
14570,-0.00067902,-0.0059448,0.00029777
14611,-0.00069923,-0.0031555,0.0024252
14743,-0.00062123,-0.0042458,0.0019118
14748,-0.00061674,-0.0037832,0.0019709
15346,-0.00023847,-0.0032158,0.0024793
15486,-0.00013607,-0.0037858,0.0020259
15674,-1.6571e-05,-0.00069495,0.0036448
15682,-1.0832e-05,-2.1484e-05,0.0032711
15749,4.1876e-05,-0.0059966,0.00031975
16085,0.00024721,-0.0031922,0.0025244
16223,0.00034133,-0.0037507,0.0020137
16509,0.00052209,-0.0042476,0.0019168
17066,0.00084894,-0.0058813,0.00028061
17109,0.00090287,-0.0029409,0.0025727
17164,0.00075423,0.0018031,0.0032849
17238,0.0010004,-0.0040506,0.0017738
17534,0.0011968,-0.003448,0.0017227
18896,0.0016566,0.0022951,0.003218
19082,0.001946,-0.0053783,-0.0001235
19871,0.0020161,0.00062604,0.0022348
19878,0.0020524,0.0012091,0.0024602
20595,0.0025304,0.0023552,0.0028836
21053,0.0029522,-0.0049261,-0.00061724
21128,0.0027025,0.0005689,0.0020892
21136,0.0027461,0.0012146,0.0023254
22500,0.0035077,0.0021112,0.0022112
22543,0.0035813,-0.0044676,-0.0011721
23856,0.0039487,-0.0039629,-0.0018439
24322,0.0042665,0.0016411,0.0010771
25249,0.0041708,-0.0033974,-0.0026825
26704,0.0043614,-0.0026702,-0.0034045
